DATE,TOTAL CONFIRMED,NEW CASES,ACTIVE CASES,DEATHS,RECOVERED,DAILY DEATHS,DAILY RECOVERED
2/27/2020,1,1,1,0,0,0,0
2/28/2020,1,0,1,0,0,0,0
2/29/2020,1,0,1,0,0,0,0
03/01/2020,1,0,1,0,0,0,0
03/02/2020,1,0,1,0,0,0,0
03/03/2020,1,0,1,0,0,0,0
03/04/2020,1,0,1,0,0,0,0
03/05/2020,1,0,1,0,0,0,0
03/06/2020,1,0,1,0,0,0,0
03/07/2020,1,0,1,0,0,0,0
03/08/2020,1,0,1,0,0,0,0
03/09/2020,2,1,2,0,0,0,0
03/10/2020,2,0,2,0,0,0,0
03/11/2020,2,0,2,0,0,0,0
03/12/2020,2,0,2,0,0,0,0
3/13/2020,2,0,1,0,1,0,1
3/14/2020,2,0,1,0,1,0,0
3/15/2020,2,0,1,0,1,0,0
3/16/2020,3,1,2,0,1,0,0
3/17/2020,3,0,2,0,1,0,0
3/18/2020,8,5,7,0,1,0,0
3/19/2020,12,4,11,0,1,0,0
3/20/2020,12,0,11,0,1,0,0
3/21/2020,22,10,20,0,2,0,1
3/22/2020,30,8,28,0,2,0,0
3/23/2020,40,10,37,1,2,1,0
3/24/2020,44,4,41,1,2,0,0
3/25/2020,51,7,48,1,2,0,0
3/26/2020,65,14,61,1,3,0,1
3/27/2020,81,16,77,1,3,0,0
3/28/2020,97,16,93,1,3,0,0
3/29/2020,111,14,107,1,3,0,0
3/30/2020,131,20,121,2,8,1,5
3/31/2020,139,8,128,2,9,0,1
04/01/2020,174,35,163,2,9,0,0
04/02/2020,184,10,162,2,20,0,11
04/03/2020,209,25,180,4,25,2,5
04/04/2020,214,5,185,4,25,0,0
04/05/2020,232,18,194,5,33,1,8
04/06/2020,238,6,198,5,35,0,2
04/07/2020,254,16,204,6,44,1,9
04/08/2020,276,22,226,6,44,0,0
04/09/2020,288,14,230,7,51,1,7
04/10/2020,305,17,240,7,58,0,7
04/11/2020,318,13,238,10,70,3,12
04/12/2020,323,5,228,10,85,0,15
4/13/2020,343,20,242,10,91,0,6
4/14/2020,373,30,263,11,99,1,8
4/15/2020,407,34,267,12,128,1,29
4/16/2020,442,35,277,13,152,1,24
4/17/2020,493,51,317,17,159,4,7
4/18/2020,541,48,356,19,166,2,7
4/19/2020,627,86,436,21,170,2,4
4/20/2020,665,38,455,22,188,1,18
4/21/2020,782,117,560,25,197,3,9
4/22/2020,873,91,648,28,197,3,0
4/23/2020,981,108,753,31,197,3,0
4/24/2020,1095,114,855,32,208,1,11
4/25/2020,1182,87,925,35,222,3,14
4/26/2020,1273,91,994,40,239,5,17
4/27/2020,1337,64,1042,40,255,0,16
4/28/2020,1532,195,1233,44,255,4,0
4/29/2020,1728,196,1370,51,307,7,52
4/30/2020,1932,204,1555,58,319,7,12
05/01/2020,2168,236,1749,68,351,10,32
05/02/2020,2388,220,1918,85,385,17,34
05/03/2020,2557,169,2070,87,400,2,15
05/04/2020,2802,245,2292,93,417,6,17
05/05/2020,2950,148,2371,98,481,5,64
05/06/2020,3145,195,2508,103,534,5,53
05/07/2020,3526,381,2818,107,601,4,67
05/08/2020,3912,386,3116,117,679,10,78
05/09/2020,4151,239,3278,128,745,11,66
05/10/2020,4399,248,3478,143,778,15,33
05/11/2020,4641,242,3589,150,902,7,124
05/12/2020,4787,146,3670,158,959,8,57
5/13/2020,4969,182,3735,164,1070,6,111
5/14/2020,5157,188,3810,167,1180,3,110
5/15/2020,5445,288,3954,171,1320,4,140
5/16/2020,5621,176,3973,176,1472,5,152
5/17/2020,5959,338,4183,182,1594,6,122
5/18/2020,6167,208,4332,191,1644,9,50
5/19/2020,6393,226,4467,192,1734,1,90
5/20/2020,6677,284,4615,202,1860,10,126
5/21/2020,7016,339,4898,211,1907,9,47
5/22/2020,7261,245,5033,221,2007,10,100
5/23/2020,7526,265,5131,221,2174,0,167
5/24/2020,7839,313,5350,226,2263,5,89
5/25/2020,8068,229,5524,233,2311,7,48
5/26/2020,8344,276,5710,249,2385,16,74
5/27/2020,8733,389,5978,254,2501,5,116
5/28/2020,8915,182,6064,259,2592,5,91
5/29/2020,9302,387,6344,261,2697,2,105
5/30/2020,9855,553,6726,273,2856,12,159
5/31/2020,10162,307,6868,287,3007,14,151
06/01/2020,10578,416,7157,299,3122,12,115
06/02/2020,10819,241,7266,314,3239,15,117
06/03/2020,11166,347,7522,315,3329,1,90
06/04/2020,11516,350,7658,323,3535,8,206
06/05/2020,11844,328,7815,333,3696,10,161
06/06/2020,12233,389,8065,342,3826,9,130
06/07/2020,12486,253,8173,354,3959,12,133
06/08/2020,12801,315,8400,361,4040,7,81
06/09/2020,13464,663,8893,365,4206,4,166
06/10/2020,13873,409,9140,382,4351,17,145
06/11/2020,14554,681,9673,387,4494,5,143
06/12/2020,15181,627,9891,399,4891,12,397
06/13/2020,15682,501,10174,407,5101,8,210
06/14/2020,16085,403,10445,420,5220,13,119
06/15/2020,16658,573,10885,424,5349,4,129
06/16/2020,17148,490,11070,455,5623,31,274
06/17/2020,17735,587,11299,469,5967,14,344
06/18/2020,18480,745,11698,475,6307,6,340
06/19/2020,19147,667,12079,487,6581,12,274
06/20/2020,19808,661,12584,506,6718,19,137
06/21/2020,20244,436,12847,518,6879,12,161
06/22/2020,20919,675,13285,525,7109,7,230
